Tree_sp,Intact,Vertebrate_prop,Invertebrate_prop,Removed_prop
Canarium strictum,0.89,0.06,0.01,0.04
Myristica dadtyloides,0.05,0.14,0.31,0.49
Heynea trijuga,0,0.45,0,0.55
Persea macrantha,0.07,0.056,0.3,0.06
Overall,0.24,0.31,0.17,0.28
